Instance ID	Master ID	Skeletal code	Skeletal element	Year this sample was first published	Publication	Representative contact	Average of 95.4% date range in calBP (defined as 1950 CE)  	Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 5983-5747 calBCE (6980±50 BP, Beta-226472). (Format 2) Archaeological context date, e.g. 2500-1700 BCE	Group_ID	Locality	Country	Lat.	Long.	Data type	Coverage on autosomal targets	SNPs hit on autosomal targets	Sex
I1542	I1542	ESP33	tooth	2015	MathiesonNature2015	Haak, Wolfgang	4225	2500-2050 BCE	Germany_CordedWare	Esperstedt	Germany	51.42	11.68	1240K	0.068	76340	M
I1536	I1536	ESP17	tooth	2015	MathiesonNature2015	Haak, Wolfgang	4225	2500-2050 BCE	Germany_CordedWare	Esperstedt	Germany	51.42	11.68	1240K	0.105	114655	M
I1544	I1544	ESP36	tooth	2015	MathiesonNature2015	Haak, Wolfgang	4225	2500-2050 BCE	Germany_CordedWare	Esperstedt	Germany	51.42	11.68	1240K	0.104	114655	M
I1538	I1538	ESP20	tooth	2015	MathiesonNature2015	Haak, Wolfgang	4225	2500-2050 BCE	Germany_CordedWare	Esperstedt	Germany	51.42	11.68	1240K	0.126	135269	M
I1539	I1539	ESP25	tooth	2015	MathiesonNature2015	Haak, Wolfgang	4420	2630-2287 calBCE (3967±57 BP, Erl-7779)	Germany_CordedWare	Esperstedt	Germany	51.42	11.68	1240K	0.132	138220	F
I1534	I1534	ESP14	tooth	2015	MathiesonNature2015	Haak, Wolfgang	4225	2500-2050 BCE	Germany_CordedWare	Esperstedt	Germany	51.42	11.68	1240K	0.158	164095	M
I0106	I0106	ESP26	tooth	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	Haak, Wolfgang	4297	2461-2208 calBCE (3867±32 BP, MAMS-21490)	Germany_CordedWare	Esperstedt	Germany	51.42	11.68	1240K	0.224	222103	F
I1532	I1532	ESP8	tooth	2015	MathiesonNature2015	Haak, Wolfgang	4225	2500-2050 BCE	Germany_CordedWare	Esperstedt	Germany	51.42	11.68	1240K	0.566	464060	M
I0049	I0049	ESP22	tooth	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	Haak, Wolfgang	4295	2463-2206 calBCE (3867±35 BP, MAMS-21489)	Germany_CordedWare	Esperstedt	Germany	51.42	11.68	1240K	0.649	514322	F
I0103	I0103	ESP16	tooth	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	Haak, Wolfgang	4472	2617-2461 calBCE (4000±31 BP, MAMS-21488)	Germany_CordedWare	Esperstedt	Germany	51.42	11.68	1240K	17.528	1049840	F
