sample	Culture	Feasible	pValue	Anatolia_Neolithic	WHG	Yamnaya_Samara	nSNPs	SE_Anatolia_Neolithic	SE_WHG	SE_Yamnaya_Samara
PRU002.A0101.TF1.1	Bohemia_BB_Early	Yes	0.0109594	29	9.6	61.5	643378	4	2.5	4.4
PRU003.B0101.TF1.1	Bohemia_BB_Early	Yes	0.390741	33	15.2	51.8	580719	3.9	2.5	4.3
TIS002.merged	Bohemia_BB_Early	Yes	0.774703	19.4	7.9	72.8	803965	3.8	2.3	4.2
HOP001.B0101.TF1.1	Bohemia_BB_Late	Yes	0.0231589	34.6	11.9	53.5	935389	3.8	2.4	4.2
HOP002.A0101.TF1.1	Bohemia_BB_Late	Yes	0.574595	33	8	59	121930	7.1	4	7.4
HOP003.A0101.TF1.1	Bohemia_BB_Late	Yes	0.1207	44.2	10.1	45.7	817409	3.7	2.4	4.1
HOP004.A0101.TF1.1	Bohemia_BB_Late	Yes	0.107744	49.1	10.9	40	782832	3.6	2.3	4.1
I4136	Bohemia_BB_Late	Yes	0.797085	32.6	13.3	54	244522	4.7	3.1	5.2
I4145	Bohemia_BB_Late	Yes	0.518756	31	16.2	52.8	91399	7.7	5	8.4
I4885	Bohemia_BB_Late	Yes	0.456394	52.2	10.1	37.8	799067	3.5	2.3	3.9
I4886	Bohemia_BB_Late	Yes	0.0271191	41.9	13.8	44.4	828385	3.8	2.4	4.3
I4888	Bohemia_BB_Late	Yes	0.211191	38.4	13.9	47.7	815489	3.9	2.3	4.2
I4889	Bohemia_BB_Late	Yes	0.00684028	40.1	12.7	47.2	830122	3.8	2.4	4.1
I4890	Bohemia_BB_Late	Yes	0.0568186	42.3	12.3	45.4	37120	9.9	6.2	10.8
I4891	Bohemia_BB_Late	Yes	0.251221	45.2	15.6	39.2	824055	4.1	2.4	4.4
I4895	Bohemia_BB_Late	Yes	0.53497	34.6	14.9	50.5	797568	3.7	2.2	4.1
I4896	Bohemia_BB_Late	Yes	0.823345	39.7	13.1	47.2	805493	3.5	2.4	3.9
I4945	Bohemia_BB_Late	Yes	0.360039	46	6.1	47.9	520265	4.2	2.8	4.6
I4946	Bohemia_BB_Late	Yes	0.554236	38.6	7.1	54.4	367335	4.8	3.1	5.2
I5514	Bohemia_BB_Late	Yes	0.551093	28.3	10.9	60.9	843056	3.9	2.4	4.2
I5666	Bohemia_BB_Late	Yes	0.0876379	35.4	8.7	56	281087	5.2	3.4	6.1
I6468	Bohemia_BB_Late	Yes	0.889026	39.3	8.5	52.3	48697	10	6	11
I6480	Bohemia_BB_Late	Yes	0.398115	34.5	10	55.4	421263	4.4	2.6	4.8
I7205	Bohemia_BB_Late	Yes	0.632561	28	13.6	58.4	755568	3.7	2.3	4
I7210	Bohemia_BB_Late	Yes	0.149132	48.1	12.6	39.2	732307	3.9	2.4	4.3
I7211	Bohemia_BB_Late	Yes	0.288925	38.3	15.5	46.2	752886	3.8	2.3	4.1
I7213	Bohemia_BB_Late	Yes	0.23097	37.8	14.6	47.6	739009	3.8	2.6	4.3
I7249	Bohemia_BB_Late	Yes	0.752705	34.7	15	50.3	762919	3.7	2.3	3.9
I7250	Bohemia_BB_Late	Yes	0.00452175	45.1	13.3	41.6	156533	5.6	3.7	6.2
I7251	Bohemia_BB_Late	Yes	0.504483	30.8	17.3	51.9	740972	3.7	2.6	4.5
