Version ID	Master ID	Skeletal code	Publication	Method for Determining Date (including any warnings)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Group ID	Locality	Country	Lat.	Long.	Data type	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Sex	Family ID and position within family	Y haplogroup in terminal mutation notation (automatically called)	Y haplogroup  in ISOGG v15.73 notation (automatically called)	mt haplogroup	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	SNP >=30000	Not questionable	 Not 1d relative of another high coverage sample	1240k data	UDG treated or modern or expected low damage due to diploid consensus calling	Coarse Subregion	Fine Subregion	Period	P-value for qpAdm (2-way model) (Balkan_N new)	EEF (2-way model)	EEF err. (2-way model)	P-value for qpAdm (3-way model)	WHG (3-way model)	EEF (3-way model)	Steppe (3-way model)	WHG err. (3-way model)	EEF err. (3-way model)	Steppe err. (3-way model)	Z-score for non-zero Steppe ancestry	Maximum P-value for 2-way and 3-way qpAdm	Filter 0: >=30000 SNPs, PASS assessment, relevant period, not a first degree relative of higher coverage individuals)	Filter 1: Filter 0 plus p>0.01 qpAdm 3-way or qpAdm 2-way	Filter 1 alternative: Version of Filter 1 but with subregional classifications in the Iron Age	"Filter 2: Filter 1 +  significant outliers by qpWave from other individuals of the comparison group that are not labeled as ""Ignore"" or  outlier; for ""Neolithic"" we also reject if Z>2.58 for steppe ancestry. We label all individuals where non-Ignore individuals are P<0.05 or less after the first is significant at P<0.005 as extreme outliers"	Filter 2 comparison group	P-values from main comparison group (from 1240k data when a 1240k sample, from all samples when a .SG sample)
I5068	I5068	KH40	MathiesonNature2018	Context: Archaeological - Period	7088	209	5500-4775 BCE	Austria_EN_LBK	Kleinhadersdorf Flur Marchleiten	Austria	48.663197	16.589687	1240K	1	0.363	323161	M	n/a (no relatives detected)	J-Z6050	J2a1	T2b23	ds.half	S5068.E1.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Austria	N	0.402039	0.932	0.013	0.673149	0.06	0.912	0.028	0.016	0.018	0.02	1.4	0.673149	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Austria_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.860642
I5070	I5070	SCH1	MathiesonNature2018	Direct: IntCal20	7048	68	5209-4998 calBCE (6140±25 BP, PSUAMS-4224)	Austria_N_LBK	Asparn Schletz	Austria	48.579752	16.46931	1240K	1	3.51	849758	M	n/a (no relatives detected)	C-V86	C1a2	K1a1a	ds.half	S5070.E1.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Austria	N	0.038072	0.94	0.012	0.009869	0.063	0.937	0	0.014	0.016	0.017	0	0.038072	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Austria_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.097401
I5069	I5069	KH55	MathiesonNature2018	Direct: IntCal20	6961	65	5205-4907 calBCE (6090±25 BP, PSUAMS-4326)	Austria_EN_LBK	Kleinhadersdorf Flur Marchleiten	Austria	48.663197	16.589687	1240K	1	3.364	842949	F	n/a (no relatives detected)	n/a (female)	n/a (female)	N1a1a	ds.half	S5069.E1.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Austria	N	0.393775	0.964	0.012	0.187021	0.042	0.966	-0.008	0.014	0.017	0.018	-0.4	0.393775	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Austria_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.563058
I5204	I5204	SCH14/2	MathiesonNature2018	Context: Archaeological - Period	6950	289	5500-4500 BCE	Austria_N_LBK	Asparn Schletz	Austria	48.579752	16.46931	1240K	1	4.769	832770	M	n/a (no relatives detected)	G-Z6885	G2a2b2a3	J1c2	ds.half	S5204.E1.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Austria	N	0.569627	0.934	0.012	0.381124	0.064	0.924	0.012	0.014	0.016	0.017	0.7	0.569627	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Austria_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.182085
I5205_published	I5205	SCH2	MathiesonNature2018	Context: Archaeological - Period	6950	58	5100-4900 BCE	Austria_N_LBK	Asparn Schletz	Austria	48.579752	16.46931	1240K	1	4.457	831236	F	n/a (no relatives detected)	n/a (female)	n/a (female)	H	ds.half	S5205.E1.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Austria	N	0.207027	0.96	0.012	0.088092	0.038	0.949	0.013	0.014	0.016	0.018	0.7	0.207027	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Austria_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.240002
I5206_published	I5206	SCH3	MathiesonNature2018	Context: Archaeological - Period	6950	58	5100-4900 BCE	Austria_N_LBK	Asparn Schletz	Austria	48.579752	16.46931	1240K	1	3.407	810932	F	n/a (no relatives detected)	n/a (female)	n/a (female)	T2b	ds.half	S5206.E1.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Austria	N	0.644663	0.961	0.011	0.418349	0.046	0.964	-0.01	0.013	0.016	0.018	-0.6	0.644663	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Austria_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.156416
I5207_published	I5207	SCH4	MathiesonNature2018	Context: Archaeological - Period	6950	58	5100-4900 BCE	Austria_N_LBK	Asparn Schletz	Austria	48.579752	16.46931	1240K	1	4.447	904693	M	n/a (no relatives detected)	J-Z6046	J2a1	H67	ds.half	S5207.E1.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Austria	N	0.432571	0.969	0.011	0.306121	0.027	0.956	0.017	0.013	0.016	0.018	0.9	0.432571	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Austria_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.303794
I5208	I5208	SCH5	MathiesonNature2018	Context: Archaeological - Period	6950	289	5500-4500 BCE	Austria_N_LBK	Asparn Schletz	Austria	48.579752	16.46931	1240K	1	4.95	898278	F	n/a (no relatives detected)	n/a (female)	n/a (female)	K1b1+(16093)	ds.half	S5208.E1.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Austria	N	0.376768	0.962	0.011	0.160524	0.042	0.963	-0.005	0.013	0.015	0.017	-0.3	0.376768	Use	Austria.Hungary.Slovenia_8100.to.6500BP	Austria_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	Austria.Hungary.Slovenia_8100.to.6500BP	0.159116
I11699	I11699	330, 26.238	This study	Context: Archaeological - Period	2300	87	500-200 BCE	Austria_IA_LaTene	Lower Austria, St. Pölten, Pottenbrunn	Austria	48.241109	15.701654	1240K	1	5.192492	850541	F	n/a (no relatives detected)	n/a (female)	n/a (female)	H11a2	ds.half	S11699.Y1.E2.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Austria	IA	0	0.734	0.012	0.517342	0.132	0.521	0.347	0.013	0.017	0.019	18.3	0.517342	Use	Austria.Hungary.Slovenia_IA	Austria_IA	Austria.Hungary.Slovenia_IA	Austria.Hungary.Slovenia_IA	0.484377
I11701	I11701	332, 26.249	This study	Context: Archaeological - Period	2300	87	500-200 BCE	Austria_IA_LaTene	Lower Austria, St. Pölten, Pottenbrunn	Austria	48.241109	15.701654	1240K	1	5.421026	852634	M	n/a (no relatives detected)	R-L2	R1b1a1b1a1a2b1	T2b	ds.half	S11701.Y1.E2.L1	PASS	..	1	1	1	1	1	Austria.Hungary.Slovenia	Austria	IA	0	0.759	0.013	0.673946	0.072	0.521	0.407	0.014	0.017	0.021	19.4	0.673946	Use	Austria.Hungary.Slovenia_IA	Austria_IA	Austria.Hungary.Slovenia_IA	Austria.Hungary.Slovenia_IA	0.701569
