Index	Version ID	Master ID	Skeletal code	Skeletal element	Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing: GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]	Publication	Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Age at Death Estimate	Group ID	Locality	Country	Lat.	Long.	Data source	No. Libraries	Coverage on autosomal targets	SNPs hit on autosomal targets	Mean length of shotgun sequences (merged data)	Sex	Family ID and position within family	Y haplogroup  in ISOGG v15.73 notation (automatically called)	Y haplogroup (manual curation in terminal mutation format)	Y haplogroup (manual curation in ISOGG format)	mtDNA coverage (merged data)	mtDNA haplogroup if ≥2 or published	mtDNA match to consensus if ≥2 coverage (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Xcontam ANGSD SNPs (only if male)	Xcontam ANGSD MOM point estimate (only if male and ≥200)	Xcontam ANGSD MOM Z-score (only if male and ≥200)	Xcontam ANGSD MOM 95% CI truncated at 0 (only if male and ≥200)	contamLD est	contamLD s.e.	contamLD warning	contamLD s.e..1	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	LibraryID(s)	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"	Y haplogroup in terminal mutation notation (automatically called)	mt haplogroup	Method for Determining Date (including any warnings)	Data type	SNP >=30000	Not questionable	 Not 1d relative of another high coverage sample	1240k data	UDG treated or modern or expected low damage due to diploid consensus calling	Coarse Subregion	Fine Subregion	Period	P-value for qpAdm (2-way model) (Balkan_N new)	EEF (2-way model)	EEF err. (2-way model)	P-value for qpAdm (3-way model)	WHG (3-way model)	EEF (3-way model)	Steppe (3-way model)	WHG err. (3-way model)	EEF err. (3-way model)	Steppe err. (3-way model)	Z-score for non-zero Steppe ancestry	Maximum P-value for 2-way and 3-way qpAdm	Filter 0: >=30000 SNPs, PASS assessment, relevant period, not a first degree relative of higher coverage individuals)	Filter 1: Filter 0 plus p>0.01 qpAdm 3-way or qpAdm 2-way	Filter 1 alternative: Version of Filter 1 but with subregional classifications in the Iron Age	"Filter 2: Filter 1 +  significant outliers by qpWave from other individuals of the comparison group that are not labeled as ""Ignore"" or  outlier; for ""Neolithic"" we also reject if Z>2.58 for steppe ancestry. We label all individuals where non-Ignore individuals are P<0.05 or less after the first is significant at P<0.005 as extreme outliers"	Filter 2 comparison group	P-values from main comparison group (from 1240k data when a 1240k sample, from all samples when a .SG sample)
	I7632	I7632	Grave 1; HATMP100001			This study		2240	57	391-203 calBCE (2246±30 BP, SUERC-70740)		England_MIA	England, Sussex, Brighton, Slonk Hill	United Kingdom	50.844866	-0.266087		1	0.240673	246428		M	United Kingdom, England, Sussex, Brighton, Slonk Hill Family A (2 members) (I14551 and I7632 are 2nd or 3rd degree relatives)	R1b1a1b1a1a																ds.half	S7632.E1.L1	PASS	damage.ds.half=0.035	R-S1200	H1	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southeast	IA	0.0	0.674	0.013	0.860844	0.146	0.397	0.457	0.015	0.019	0.024	19.0	0.860844	Use	England.and.Wales_IA	England.Southeast_IA	England.and.Wales_IA	England.and.Wales_IA	0.637436
	I1774	I1774	SK3545			This study		3698	69	1879-1627 calBCE (3437±36 BP, UBA-28373)		England_C_EBA	England, Kent, Isle of Sheppey, Neats Court	United Kingdom	51.423287	0.738864		1	0.088	95925		M	n/a (no relatives detected)	R1b1a1b																ds.half	S1774.E1.L1	PASS	..	R-M269	U4b1a2	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Southeast	C.EBA	0.0	0.635	0.018	0.074967	0.13	0.284	0.585	0.02	0.024	0.032	18.3	0.074967	Use	England.and.Wales_C.EBA	England.Southeast_C.EBA	England.and.Wales_C.EBA	England.and.Wales_C.EBA	0.126806
	I3014	I3014	SB 382B2; CPC-2014			This study		2225	56	377-177 calBCE (2209±31 BP, UBA-30432)		England_MIA	England, Derbyshire, Brassington, Carsington Pasture Cave	United Kingdom	53.079803	-1.640942		1	2.191	696529		F	n/a (no relatives detected)	n/a (female)																ds.half	S3014.L1	PASS	batch.flag, damage.ss.half=0.049	n/a (female)	H	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.Midlands	IA	0.0	0.627	0.013	0.18869	0.123	0.368	0.509	0.015	0.015	0.02	25.5	0.18869	Use	England.and.Wales_IA	England.Midlands_IA	England.and.Wales_IA	England.and.Wales_IA	0.71412
	I3019	I3019	SB 403C2; 2004.9/419			This study		5150	462	4000-2400 BCE		England_N	England, Somerset, Cheddar, Totty Pot	United Kingdom	51.279	-2.743324		1	0.031	35913		M	n/a (no relatives detected)	R1b1a1b																ds.plus	S3019.L1	QUESTIONABLE	batch.flag, finds steppe ancestry, date	R-M269	H4a1a+195	Context: Archaeological - Period	1240K	1.0	0.0	1.0	1.0	1.0	England.and.Wales	England.Southwest	N	0.0	0.663	0.026	0.060925	0.162	0.397	0.442	0.028	0.034	0.042	10.5	0.060925	Do not pool into main transects (QUESTIONABLE)	Ignore_England.and.Wales_N	Ignore_England.Southwest_N	Ignore_England.and.Wales_N_highSteppe	England.and.Wales_N	0.0
	I3035	I3035	SB 469B2			This study		5700	144	4000-3500 BCE		England_N_o	England, North Yorkshire, Ingleborough Hill, Fox Holes Cave	United Kingdom	54.165855	-2.397734		1	1.208	665964		M	n/a (no relatives detected)	R1b1a1b1a1a1c1a2b																ds.half	S3035.L1	QUESTIONABLE	Xcontam=[0.015,0.028]	R-A7208	..	Context: Archaeological - Period	1240K	1.0	0.0	1.0	1.0	1.0	England.and.Wales	England.North	N	0.0	0.648	0.014	0.065299	0.164	0.372	0.465	0.014	0.017	0.02	23.3	0.065299	Do not pool into main transects (QUESTIONABLE)	Ignore_England.and.Wales_N	Ignore_England.North_N	Ignore_England.and.Wales_N_highSteppe	England.and.Wales_N	0.0
	I3083	I3083	SB 413B2; 2004.97			This study		2233	54	387-201 calBCE (2232±29 BP, OxA-14730)		England_MIA	England, London, River Thames, Putney Foreshore	United Kingdom	51.466215	-0.212202		1	0.182	192003		M	n/a (no relatives detected)	R1b1a1b1a1																ds.plus	S3083.L1	QUESTIONABLE	mtcontam=[0.885,0.907]	R-L52	R	Direct: IntCal20	1240K	1.0	0.0	1.0	1.0	1.0	England.and.Wales	England.Southeast	IA	0.0	0.653	0.016	0.425283	0.13	0.335	0.534	0.017	0.02	0.026	20.5	0.425283	Do not pool into main transects (QUESTIONABLE)	Ignore_England.and.Wales_IA	Ignore_England.Southeast_IA	Ignore_England.and.Wales_IA_o	England.and.Wales_IA	0.000116
	I5502	I5502	Nunburnholme 14; Barrow D			This study		2054	50	196-4 calBCE (2090±30 BP, Beta-520210)		England_EastYorkshire_LIA	England, East Riding of Yorkshire, Nunburnholme Wold	United Kingdom	53.916717	-0.666972		1	4.749	835214		M	n/a (no relatives detected)	R1b1a1b1a1a2																ds.half	S5502.E1.L1	PASS	..	R-P312	H3	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.637	0.014	0.559568	0.131	0.356	0.513	0.015	0.016	0.02	25.7	0.559568	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.893266
	I5503	I5503	Nunburnholme 15; Barrow BE			This study		2065	54	334-42 calBCE (2100±30 BP, Beta-516926)		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Nunburnholme Wold	United Kingdom	53.916717	-0.666972		1	5.343	848242		F	n/a (no relatives detected)	n/a (female)																ds.half	S5503.E1.L1	PASS	..	n/a (female)	U5b1c2	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.653	0.013	0.484858	0.136	0.352	0.512	0.014	0.016	0.021	24.4	0.484858	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.104524
	I5506	I5506	Sk119			This study		2202	73	358-111 calBCE (2171±25 BP, SUERC-83079)		England_EastYorkshire_MIA_LIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	4.715	834207		F	United Kingdom, England, East Riding of Yorkshire, Pocklington (Burnby Lane) Family A (2 members) (I12412-I5506 have a 2d or 3d relationship)	n/a (female)																ds.half	S5506.E1.L1	PASS	..	n/a (female)	K1c1a	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.677	0.012	0.748287	0.138	0.394	0.468	0.014	0.017	0.021	22.3	0.748287	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.615881
	I5507	I5507	Sk121			This study		2238	56	387-206 calBCE (2243±24 BP, SUERC-83080)		England_EastYorkshire_MIA	England, East Riding of Yorkshire, Pocklington (Burnby Lane)	United Kingdom	53.919396	-0.766635		1	4.695	830497		F	n/a (no relatives detected)	n/a (female)																ds.half	S5507.E1.L1	PASS	..	n/a (female)	H2a3b	Direct: IntCal20	1240K	1.0	1.0	1.0	1.0	1.0	England.and.Wales	England.EastYorkshire	IA	0.0	0.666	0.013	0.16319	0.114	0.343	0.542	0.014	0.016	0.02	27.1	0.16319	Use	England.and.Wales_IA	England.EastYorkshire_IA	England.and.Wales_IA	England.and.Wales_IA	0.527815
