Version ID	Master ID	Skeletal code	Publication	Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r:5; Atmospheric data from Reimer et al (2020)	Date mean in BP [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform disribution between the two bounds for a contextual date]	Full Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Group ID	Locality	Country	Lat.	Long.	Data source	Coverage on autosomal targets	SNPs hit on autosomal targets	Sex	Y haplogroup in terminal mutation notation (automatically called)	Y haplogroup  in ISOGG v15.73 notation (automatically called)	mt haplogroup	ASSESSMENT	"ASSESSMENT REASONING (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0.98: 0.9-0.95 is ""QUESTIONABLE""; <0.9 is ""QUESTIONABLE_CRITICAL"", questionable status gets overriden by ANGSD with PASS if upper bound of contamination is <0.01 and QUESTIONABLE if upper bound is 0.01-0.05) (damage for ds.half is ""QUESTIONABLE_CRITICAL/FAIL"" if <0.01, and recorded but passed if 0.01-0.03; libraries with untreated last base are ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if <0.01, ""QUESTIONABLE"" if 0.01-0.03, and recorded but passed if 0.03-0.1) (sexratio is QUESTIONABLE if [0.03,0.10] or [0.30,0.35); QUESTIONABLE_CRITICAL/FAIL if (0.10,0.30))"
Ancestor.REF	Ancestor	Ancestor	ReferenceGenome	Modern	0	0	present	Ancestor.REF	..	..	..	..	Reference.Genome	..	1135001	M	..	..	..	PASS	..
Chimp.REF	Chimp	Chimp	Genome	Modern	0	0	present	Chimp.REF	..	..	..	..	Reference.Genome	..	1102442	M	..	..	..	PASS	Literature
Href.REF	Href	Href	Genome	Modern	0	0	present	Href.REF	..	..	..	..	Reference.Genome	..	1150639	M	..	..	..	PASS	Literature
S_Albanian-1.DG	ALB212	ALB212	MallickNature2016	Modern	0	0	present	Albanian.DG	Tirana	Albania	41.33	19.83	Shotgun.diploid	36.15	1120101	F	n/a (female)	n/a (female)	..	PASS	SGDP, Fully Public
HGDP01253.SDG	HGDP01253	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1141056	M	..	..	..	PASS	..
HGDP01254.SDG	HGDP01254	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1138406	F	n/a (female)	n/a (female)	..	PASS	..
HGDP01255.SDG	HGDP01255	..	BergstromScience2020	Modern	0	0	present	Mozabite_oEuropean.SDG	..	Algeria	32	3	Shotgun.diploid	..	1138440	M	..	..	..	PASS	..
HGDP01256.SDG	HGDP01256	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1134547	M	..	..	..	PASS	..
HGDP01257.SDG	HGDP01257	..	BergstromScience2020	Modern	0	0	present	Mozabite_oSubSaharan.SDG	..	Algeria	32	3	Shotgun.diploid	..	1134283	M	..	..	..	PASS	..
HGDP01258.SDG	HGDP01258	..	BergstromScience2020	Modern	0	0	present	Mozabite.SDG	..	Algeria	32	3	Shotgun.diploid	..	1138956	M	..	..	..	PASS	..
