chr	pos	rate	cM
chr15	20161372	0.0941666	0
chr15	20172595	0.0776809	0.0010568317518
chr15	20192011	0.00394429	0.0025650841062
chr15	22763396	53.8748	0.01270737224785
chr15	22763479	0.104149	0.01717898064785
chr15	22778880	4.5797	0.01878297939685
chr15	22784095	0.120949	0.04266611489685
chr15	22796596	0.274886	0.04417809834585
chr15	22799908	0.0843809	0.04508852077785
chr15	22815729	0.0382792	0.04642351099675
chr15	22869860	0.331442	0.04849560237195
chr15	22871248	0.151156	0.04895564386795
chr15	22877725	0.124304	0.04993468127995
chr15	22886225	0.0735523	0.05099126527995
chr15	22904312	0.370756	0.05232160573005
chr15	22905570	0.0494088	0.05278801677805
chr15	22940670	0.108714	0.05452226565805
chr15	22948024	0.574096	0.05532174841405
chr15	22958758	1.41776	0.06148409487805
chr15	22960938	0.15323	0.06457481167805
chr15	22965658	0.24889	0.06529805727805
chr15	22976911	1.43183	0.06809881644805
chr15	22985688	0.313843	0.08066598835805
chr15	22990345	0.379026	0.08212755520905
chr15	22993882	0.259607	0.08346817017105
chr15	23000272	0.143966	0.08512705890105
chr15	23004893	0.611077	0.08579232578705
chr15	23005202	0.0729515	0.08598114858005
chr15	23021113	0.841177	0.08714187989655
chr15	23021238	0.198077	0.08724702702155
chr15	23024001	0.100947	0.08779431377255
chr15	23033803	0.745352	0.08878379626655
chr15	23034002	0.117339	0.08893212131455
chr15	23040856	0.227868	0.08973636282055
chr15	23043239	0.422895	0.09027937226455
chr15	23043896	0.353164	0.09055721427955
chr15	23045127	0.368684	0.09099195916355
chr15	23046314	0.531908	0.09142958707155
chr15	23046855	0.280225	0.09171734929955
chr15	23048542	0.253883	0.09219008887455
chr15	23050981	0.278297	0.09280930951155
chr15	23052632	0.328821	0.09326877785855
chr15	23053839	0.35789	0.09366566480555
chr15	23054987	0.177152	0.09407652252555
chr15	23059394	0.133362	0.09485723138955
chr15	23066736	0.105922	0.09583637519355
chr15	23077857	0.915788	0.09701433375555
chr15	23078008	0.210409	0.09715261774355
chr15	23084443	0.216789	0.09850659965855
chr15	23094223	0.4257	0.10062679607855
chr15	23096921	0.0981582	0.10177533467855
chr15	23134244	1.83304	0.10543889317715
chr15	23215710	2.2662	0.25476932981715
chr15	23227522	0.862961	0.28153768421715
chr15	23654207	0.873616	0.64975019850215
chr15	23667412	0.88282	0.66128629778215
chr15	23682708	1.83142	0.67478991250215
chr15	23688394	14.1883	0.68520336662215
chr15	23688944	0.508882	0.69300693162215
chr15	23701107	0.710525	0.69919646338815
chr15	23711841	0.761723	0.70682323873815
chr15	23719829	1.29984	0.71290788206215
chr15	23727655	2.4057	0.72308042990215
chr15	23728368	0.733009	0.72479569400215
chr15	23731123	3.86527	0.72681513379715
chr15	23731977	1.17787	0.73011607437715
chr15	23749808	0.663361	0.75111867434715
chr15	23750690	4.8881	0.75170375874915
chr15	23750962	3.32857	0.75303332194915
chr15	23753884	3.9672	0.76275940348915
chr15	23755449	4.68918	0.76896807148915
chr15	23755713	0.533111	0.77020601500915
chr15	23756648	2.21677	0.77070447379415
chr15	23756715	10.3248	0.77085299738415
chr15	23762348	1.99851	0.82901259578415
chr15	23771443	0.243367	0.84718904423415
chr15	23775544	3.88806	0.84818709230115
chr15	23778772	8.04227	0.86073774998115
chr15	23780005	0.406599	0.87065386889115
chr15	23781448	0.904629	0.87124059124815
chr15	23781646	4.67595	0.87141970779015
chr15	23782134	2.84757	0.87370157139015
chr15	23782201	3.86524	0.87389235858015
chr15	23782545	3.01375	0.87522200114015
chr15	23785668	3.74297	0.88463394239015
chr15	23787098	6.39639	0.88998638949015
chr15	23788330	0.345827	0.89786674197015
chr15	23792773	0.352336	0.89940325133115
chr15	23799284	0.450179	0.90169731102715
chr15	23803295	4.95035	0.90350297899615
chr15	23814372	2.36352	0.95833800594615
chr15	23815592	1.73592	0.96122150034615
chr15	23817721	0.346806	0.96491727402615
chr15	23824746	4.57857	0.96735358617615
chr15	23830514	5.26874	0.99376277793615
chr15	23833737	1.61761	1.01074392695615
chr15	23833777	6.45292	1.01080863135615
chr15	23844839	3.10555	1.08219083239615
chr15	23845197	0.522955	1.08330261929615
chr15	23847797	0.761358	1.08466230229615
chr15	23848747	0.675772	1.08538559239615
chr15	23851828	1.58073	1.08746764592815
chr15	23851950	1.64175	1.08766049498815
chr15	23852106	1.30801	1.08791660798815
chr15	23853079	1.80058	1.08918930171815
chr15	23853206	1.12336	1.08941797537815
chr15	23854666	0.794665	1.09105808097815
chr15	23865946	1.35897	1.10002190217815
chr15	23872057	5.24619	1.10832656784815
chr15	23877411	5.47952	1.13641466910815
chr15	23879149	2.97295	1.14593807486815
chr15	23880551	5.49929	1.15010615076815
chr15	23886941	13.7606	1.18524661386815
chr15	23888266	6.9297	1.20347940886815
chr15	23893689	0.773615	1.24105917196815
chr15	23895635	0.385224	1.24256462675815
chr15	23906499	0.815092	1.24674970029415
chr15	23908687	0.524334	1.24853312159015
chr15	23914637	0.843747	1.25165290889015
chr15	23916629	0.42917	1.25333365291415
chr15	23920534	0.481751	1.25500956176415
chr15	23923575	1.08929	1.25647456655515
chr15	23929094	0.979578	1.26248635806515
chr15	23936670	2.45068	1.26990764099315
chr15	23936783	2.20826	1.27018456783315
chr15	23936872	6.4046	1.27038110297315
chr15	23948571	1.33882	1.34530851837315
chr15	23950159	0.587527	1.34743456453315
chr15	23952738	8.34481	1.34894979666615
chr15	23954249	1.91186	1.36155880457615
chr15	23955532	14.102	1.36401172095615
chr15	23973973	0.228384	1.62406670295615
chr15	23989271	0.273412	1.62756052138815
chr15	24000638	0.841778	1.63066839559215
chr15	24001273	1.28712	1.63120292462215
chr15	24002327	12.7511	1.63255954910215
chr15	24008071	1.32589	1.70580186750215
chr15	24009288	6.16488	1.70741547563215
chr15	24017424	0.885983	1.75757293931215
chr15	24018003	1.33889	1.75808592346915
chr15	24021115	0.958322	1.76225254914915
chr15	24025788	3.49152	1.76673078785515
chr15	24026111	2.38295	1.76785854881515
chr15	24027532	0.279523	1.77124472076515
chr15	24030956	1.6293	1.77220180751715
chr15	24031000	1.55015	1.77227349671715
chr15	24031053	1.88508	1.77235565466715
chr15	24032071	5.26453	1.77427466610715
chr15	24032467	8.46127	1.77635941998715
chr15	24035973	9.31089	1.80602463260715
chr15	24038093	3.36016	1.82576371940715
chr15	24038267	3.33037	1.82634838724715
chr15	24038355	14.3563	1.82664145980715
chr15	24038973	3.81624	1.83551365320715
chr15	24039121	17.792	1.83607845672715
chr15	24042194	7.39845	1.89075327272715
chr15	24043825	139.892	1.90282014467715
chr15	24046717	1.58278	2.30738780867715
chr15	24047188	3.44453	2.30813329805715
chr15	24047401	11.2013	2.30886698294715
chr15	24050258	18.997	2.34086909704715
chr15	24052041	6.66159	2.37474074804715
chr15	24052523	2.25236	2.37795163442715
chr15	24054341	1.94477	2.38204642490715
chr15	24055437	1.72815	2.38417789282715
chr15	24058658	1.90057	2.38974426397715
chr15	24058740	2.06588	2.38990011071715
chr15	24058995	1.46678	2.39042691011715
chr15	24063516	0.564519	2.39705822249715
chr15	24079785	5.954	2.40624238210815
chr15	24082733	1.59718	2.42379477410815
chr15	24082747	1.72875	2.42381713462815
chr15	24082764	0.303284	2.42384652337815
chr15	24088722	0.610792	2.42565348945015
chr15	24089570	0.966804	2.42617144106615
chr15	24089841	0.979861	2.42643344495015
chr15	24090025	1.77481	2.42661373937415
chr15	24096906	9.61416	2.43882620698415
chr15	24098594	8.88485	2.45505490906415
chr15	24104152	2.25035	2.50443690536415
chr15	24106808	0.905805	2.51041383496415
chr15	24107440	0.939199	2.51098630372415
chr15	24110492	0.87267	2.51385273907215
chr15	24112281	5.9696	2.51541394570215
chr15	24117029	6.11459	2.54375760650215
chr15	24117257	0.705756	2.54515173302215
chr15	24119808	0.382391	2.54695211657815
chr15	24126080	1.51475	2.54935047293015
chr15	24126311	0.406608	2.54970038018015
chr15	24129888	0.454659	2.55115481699615
chr15	24131314	0.589617	2.55180316073015
chr15	24132212	0.737068	2.55233263679615
chr15	24132448	3.22588	2.55250658484415
chr15	24135683	1.63631	2.56294230664415
chr15	24135878	1.0761	2.56326138709415
chr15	24136844	0.995009	2.56430089969415
chr15	24138034	1.56407	2.56548496040415
chr15	24138305	1.2024	2.56590882337415
chr15	24139079	0.488701	2.56683948097415
chr15	24144958	0.891251	2.56971255415315
chr15	24146722	3.08787	2.57128472091715
chr15	24148413	3.20636	2.57650630908715
chr15	24148457	8.92796	2.57664738892715
chr15	24150918	19.7107	2.59861909848715
chr15	24151732	1.44693	2.61466360828715
chr15	24152094	0.822312	2.61518739694715
chr15	24155430	12.3425	2.61793062977915
chr15	24158326	0.972851	2.65367450977915
chr15	24160467	0.240459	2.65575738377015
chr15	24168055	0.291625	2.65758198666215
chr15	24173505	1.57267	2.65917134291215
chr15	24175851	1.13814	2.66286082673215
chr15	24178859	2.31539	2.66628435185215
chr15	24179387	2.02729	2.66750687777215
chr15	24180113	0.333638	2.66897869031215
chr15	24181729	0.281721	2.66951784932015
chr15	24186400	0.247738	2.67083376811115
chr15	24192073	0.561697	2.67223918578515
chr15	24193582	6.5478	2.67308678655815
chr15	24194457	6.06355	2.67881611155815
chr15	24203933	0.459664	2.73627431135815
chr15	24205188	1.31567	2.73685118967815
chr15	24205248	0.286594	2.73693012987815
chr15	24208910	0.237829	2.73797963710615
chr15	24213433	1.26082	2.73905533767315
chr15	24213615	0.294317	2.73928480691315
chr15	24216870	0.656629	2.74024280874815
chr15	24217764	1.18455	2.74082983507415
chr15	24225663	4.18391	2.75018659552415
chr15	24227585	0.820845	2.75822807054415
chr15	24228320	0.830777	2.75883139161915
chr15	24229015	1.58749	2.75940878163415
chr15	24232522	2.68488	2.76497610906415
chr15	24233142	2.47887	2.76664073466415
chr15	24234769	2.56219	2.77067385615415
chr15	24236088	1.59609	2.77405338476415
chr15	24240924	1.01385	2.78177207600415
chr15	24241342	0.572464	2.78219586530415
chr15	24242881	0.787152	2.78307688740015
chr15	24243878	0.341778	2.78386167794415
chr15	24247002	0.414185	2.78492939241615
chr15	24249075	1.34156	2.78578799792115
chr15	24249141	0.170652	2.78587654088115
chr15	24257659	0.204272	2.78733015461715
chr15	24267426	0.191704	2.78932527924115
chr15	24278595	0.22436	2.79146642121715
chr15	24286246	0.581763	2.79318299957715
chr15	24287112	0.158047	2.79368680633515
chr15	24296572	0.233944	2.79518193095515
chr15	24304416	0.315591	2.79701698769115
chr15	24308586	0.722106	2.79833300216115
chr15	24310262	9.62402	2.79954325181715
chr15	24315868	0.788761	2.85349550793715
chr15	24322237	1.66903	2.85851912674615
chr15	24322419	0.35442	2.85882289020615
chr15	24326612	1.04415	2.86030897326615
chr15	24326784	0.931248	2.86048856706615
chr15	24326977	0.0629542	2.86066829793015
chr15	24357212	0.0809083	2.86257171816715
chr15	24376622	0.145756	2.86414214827015
chr15	24386487	0.0586757	2.86558003121015
chr15	24431007	1.02029	2.86819227337415
chr15	24431227	0.0743954	2.86841673717415
chr15	24464101	0.211894	2.87086241155375
chr15	24470734	1.02206	2.87226790445575
chr15	24471102	1.37182	2.87264402253575
