chr	pos	rate	cM
chr14	20420151	1.12766	0
chr14	20422583	0.999453	0.00274246912
chr14	20425911	2.06088	0.006068648704
chr14	20426704	0.0541795	0.007702926544
chr14	20432664	0.053675	0.008025836364
chr14	20445618	0.424076	0.008721142314
chr14	20445905	0.343623	0.008842852126
chr14	20456322	2.1311	0.012422372917
chr14	20456434	0.593761	0.012661056117
chr14	20466824	0.689249	0.018830232907
chr14	20480547	0.0593351	0.028288796934
chr14	20489393	0.0416181	0.0288136752286
chr14	20504186	0.0627655	0.0294293317819
chr14	20511673	0.0907564	0.0298992570804
chr14	20516355	0.172698	0.0303241785452
chr14	20517501	0.1535	0.0305220904532
chr14	20520198	0.150543	0.0309360799532
chr14	20522721	0.104144	0.0313158999422
chr14	20529177	0.163034	0.0319882536062
chr14	20536377	0.313184	0.0331620984062
chr14	20538394	5.78914	0.0337937905342
chr14	20539108	4.65047	0.0379272364942
chr14	20539305	2.61031	0.0388433790842
chr14	20549093	0.690543	0.0643930933642
chr14	20562080	0.119605	0.0733611753052
chr14	20578244	0.120448	0.0752944705252
chr14	20584114	0.842939	0.0760015002852
chr14	20584199	0.100561	0.0760731501002
chr14	20592038	0.0804417	0.0768614477792
chr14	20599515	0.338412	0.0774629103701
chr14	20600017	0.0412964	0.0776327931941
chr14	20619072	0.0624877	0.0784196960961
chr14	20632463	0.0496041	0.0792564688868
chr14	20644690	66.079	0.0798629782175
chr14	20644775	2.40864	0.0854796932175
chr14	20645916	1.44869	0.0882279514575
chr14	20649375	2.14536	0.0932389701675
chr14	20651027	0.501419	0.0967831048875
chr14	20651157	0.264174	0.0968482893575
chr14	20651901	0.161923	0.0970448348135
chr14	20653540	1.23474	0.0973102266105
chr14	20655710	2.60576	0.0999896124105
chr14	20656094	2.38708	0.1009902242505
chr14	20656645	0.844248	0.1023055053305
chr14	20660992	1.27263	0.1059754513865
chr14	20663078	0.140168	0.1086301575665
chr14	20665362	0.568395	0.1089503012785
chr14	20665840	3.5192	0.1092219940885
chr14	20666556	3.83494	0.1117417412885
chr14	20667084	3.87972	0.1137665896085
chr14	20668817	4.47402	0.1204901443685
chr14	20669845	3.6192	0.1250894369285
chr14	20672016	0.626023	0.1329467201285
chr14	20672490	0.967052	0.1332434550305
chr14	20672509	0.180625	0.1332618290185
chr14	20673985	0.198232	0.1335284315185
chr14	20675194	0.161548	0.1337680940065
chr14	20677257	0.314098	0.1341013675305
chr14	20677591	0.072811	0.1342062762625
chr14	20684277	0.118475	0.1346930906085
chr14	20687978	0.0645175	0.1351315665835
chr14	20697600	0.300171	0.1357523539685
chr14	20698239	0.915304	0.1359441632375
chr14	20698298	0.15476	0.1359981661735
chr14	20707100	11.5841	0.1373603636935
chr14	20709118	11.4322	0.1607370774935
