chr	pos	rate	cM
chrX	2737282	0.0379419	0
chrX	2776372	0.368021	0.001483148871
chrX	2777560	5.4334	0.001920357819
chrX	2778526	2.94793	0.007169022219
chrX	2783555	8.27257	0.021994162189
chrX	2787455	11.043	0.054257185189
chrX	2788707	0.901329	0.068083021189
chrX	2789848	0.744783	0.069111437578
chrX	2794461	0.195561	0.072547121557
chrX	2802368	24.9254	0.074093422384
chrX	2811185	1.86016	0.293860674184
chrX	2813287	12.0697	0.297770730504
chrX	2821450	20.5502	0.396295691604
chrX	2822253	42.3017	0.412797502204
chrX	2823585	1.08201	0.469143366604
chrX	2825403	0.813787	0.471110460784
chrX	2834723	1.00446	0.478694955624
chrX	2843139	29.1409	0.487148490984
chrX	2847017	1.09292	0.600156901184
chrX	2847133	41.1038	0.600283679904
chrX	2848409	38.3418	0.652732128704
chrX	2850901	1.49191	0.748279894304
chrX	2852900	1.11458	0.751262222394
chrX	2861866	1.33318	0.761255546674
chrX	2862721	0.288978	0.762395415574
chrX	2865296	0.582053	0.763139533924
chrX	2867466	0.440319	0.764402588934
chrX	2870313	0.8534	0.765656177127
chrX	2871474	9.56188	0.766646974527
chrX	2930664	3.12284	1.332614651727
chrX	2936472	4.09989	1.350752106447
chrX	2942109	0.625217	1.373863186377
chrX	2942986	0.456249	1.374411501686
chrX	2944537	0.206286	1.375119143885
chrX	2951931	0.185061	1.376644422569
chrX	2959861	0.793542	1.378111956299
chrX	3002687	6.27048	1.412096185991
chrX	3008272	20.3256	1.447116816791
chrX	3012405	0.317958	1.531122521591
chrX	3019465	3.20762	1.533367305071
chrX	3025174	6.32578	1.551679607651
chrX	3028260	0.553939	1.571200964731
chrX	3030426	0.741813	1.572400796605
chrX	3030877	0.41856	1.572735354268
chrX	3032054	0.311966	1.573227999388
chrX	3038701	4.91764	1.57530163739
chrX	3069568	0.308042	1.72709443127
chrX	3073671	0.156585	1.728358327596
chrX	3092524	18.5243	1.731310424601
chrX	3103318	0.270074	1.931261718801
chrX	3106679	0.308472	1.932169437515
chrX	3113264	3.54099	1.934200725635
chrX	3120780	2.76701	1.960814806475
chrX	3127322	6.60445	1.978916585895
chrX	3129641	0.0897729	1.994232305445
chrX	3140913	0.831049	1.9952442255738
chrX	3140992	0.421471	1.9953098784448
chrX	3142375	2.10524	1.9958927728378
chrX	3143656	28.1109	1.9985895852778
chrX	3145565	0.994545	2.0522532933778
chrX	3147735	0.496349	2.0544114560278
chrX	3150071	0.221487	2.0555709272918
chrX	3160985	1.33219	2.0579882364098
chrX	3161028	1.36792	2.0580455205798
chrX	3161121	11.4186	2.0581727371398
chrX	3167102	0.286644	2.1264673837398
chrX	3172640	3.89087	2.1280548182118
chrX	3176492	2.42782	2.1430424494518
chrX	3176513	2.64513	2.1430934336718
chrX	3183507	0.239903	2.1615934728918
chrX	3190297	0.743262	2.1632224142618
chrX	3194131	1.67534	2.1660720807698
chrX	3208112	2.96202	2.1894950093098
chrX	3213911	2.25765	2.2066717632898
chrX	3218814	0.138742	2.2177410212398
